kulutus/kWh;lampotila/C,
51441;1,1
44161;0,46
47200;0,36
58163;0,44
67845;0,6
59959;1,4
57357;1,15
52148;1,36
47876;0,81
52162;0,27
54782;0,45
54695;0,5
57666;0,29
70000;0,1
66584;-0,29
65655;-0,39
63277;-0,4
64694;-0,31
69456;-0,3
66752;-0,55
62135;-0,47
57334;-0,98
57695;-1,16
57415;-1,17
55593;-1,35
50822;-1,35
48116;-1,28
62232;-1,16
69368;-1,3
61253;-1,2
58256;-1,16
57224;-1,51
56808;-1,56
57080;-1,6
58409;-1,68
59863;-1,77
62960;-1,94
73766;-1,91
70551;-2,7
63109;-2,46
61083;-2,32
65563;-2,19
68415;-2,24
68047;-2,35
67118;-2,63
60660;-2,75
62292;-2,77
60167;-2,79
57289;-2,94
51689;-3,5
51105;-3,8
60744;-3,4
70715;-2,87
66748;-2,88
60878;-2,98
62190;-2,93
58241;-2,93
59838;-2,73
61198;-2,55
63010;-2,42
66580;-2,37
75933;-2,47
73162;-2,93
65531;-3,1
63572;-3,26
61861;-3,7
70696;-4,21
69302;-4,58
63580;-4,88
59071;-4,72
57487;-4,75
54018;-4,94
55874;-4,48
48051;-3,71
49966;-2,82
60786;-2,1
71102;-1,24
62719;-0,92
57799;-0,67
57434;-0,42
53151;-0,24
57407;-0,9
56991;0,11
60154;0,3
63705;0,5
75872;0,57
72193;0,66
72645;0,74
69087;0,78
69631;0,82
67093;0,8
67369;0,75
62048;0,74
59909;0,48
62632;0,64
56612;0,71
54225;0,62
47600;0,71
43530;0,75
45281;1,12
51759;1,67
52948;2,9
54405;1,98
57264;1,85
53860;1,98
52571;1,86
53997;1,93
56332;1,52
52536;0,92
54183;0,63
47356;0,55
48852;0,52
47959;-0,1
43581;-0,15
38820;0,11
31582;0,17
29465;0,26
28235;0,46
29993;0,5
26587;-0,22
26670;-0,15
25804;-0,23
26817;-0,31
28418;-0,31
32173;-0,34
34512;-0,13
40459;-0,3
47143;-0,26
50725;-0,53
49293;-0,82
52117;-1,4
53975;-0,85
55776;-0,84
65079;-1,8
62881;-1,33
64118;-1,31
64223;-1,82
62096;-1,95
57512;-1,56
52825;-1,4
51627;-1,19
44569;-1,14
43911;-1,25
42123;-1,37
42263;-1,3
41449;-1,39
45362;-1,43
59832;-1,48
68475;-1,39
62464;-1,2
59605;-1,12
59134;-1,14
60885;-1,27
58433;-1,37
60471;-1,5
64061;-1,55
71599;-1,65
77386;-1,59
77658;-1,56
71214;-1,65
65891;-1,77
66061;-1,89
71756;-1,81
69731;-1,99
69310;-2,13
63279;-2,6
63652;-1,98
59896;-2,1
59305;-2,19
57165;-2,13
59853;-2,48
65987;-4,9
71538;-4,59
66663;-4,79
65430;-5,13
62378;-5,34
61682;-5,47
61936;-5,44
65506;-5,44
67404;-5,5
70165;-5,46
79084;-5,77
75648;-5,95
75089;-6,1
67228;-6,3
65731;-5,99
74567;-6,2
71807;-5,95
67825;-5,87
67711;-5,77
67929;-5,76
66449;-5,75
66853;-5,63
61166;-5,45
56991;-5,23
64942;-5,1
76203;-4,85
73224;-4,75
68466;-4,47
65834;-4,29
58849;-4,32
64568;-4,23
64023;-4,24
64267;-4,41
71621;-4,58
82810;-5,6
75894;-5,53
72241;-6,11
71701;-7,5
67166;-7,76
75759;-8,44
74038;-9,36
78200;-10,13
68736;-10,71
71762;-10,7
65859;-10,41
62953;-10,68
58575;-10,19
54739;-9,69
65027;-8,52
74571;-7,46
68217;-7,19
65060;-7,2
61875;-7,4
61586;-6,94
62383;-6,99
65611;-7,17
66465;-7,35
70038;-7,76
80951;-8,85
77230;-10,21
71953;-10,78
70301;-10,97
68714;-11,9
72726;-11,47
71480;-11,62
70478;-11,41
;-10,25
;-9,24
;-9,98
;-8,69
;-7,65
;-7,2
;-4,59
;-2,66
;-1,65
;-0,77
;-0,55
;-0,33
;-0,66
;-0,81
;-0,75
;-1,17
;-1,56
;-1,72
;-1,8
;-1,64
;-1,28
;-0,95
;-0,63
;-0,33
